imdbId,title,releaseYear,releaseDate,genre,writers,actor_id,actors,director_id,directors,sequel,hitFlop
tt0283911,Bas Itna Sa Khwaab Hai...,2001,6-Jul-01,Romance,Mona Alvi (lyrics) | Goldie Behl (screenplay) | Goldie Behl (story) | Shrishti Behl | Manu Chopra | Tigmanshu Dhulia (dialogue) | Nida Fazli (lyrics) | Dev Kohli (lyrics) | Shyam Raj (lyrics),404,Abhishek Bachchan,32,Ram Gopal Varma,0,1
tt0284137,Gadar: Ek Prem Katha,2001,15-Jun-01,Action | Drama | Romance,Shaktimaan Talwar,405,Imran Khan,33,Vishal Bhardwaj,0,9
tt0284328,Mujhe Kucch Kehna Hai,2001,25-May-01,Romance,Rumi Jaffery (story) | A. Karunakaran (story),406,Rekha,34,Abbas Alibhai Burmawalla,0,7
tt0285319,Paagalpan,2001,8-Jun-01,Romance,Joy Augustine (story),407,Tabu,35,Mastan Alibhai Burmawalla,0,1
tt0287537,Love Ke Liye Kuch Bhi Karega,2001,29-Jun-01,Comedy | Crime | Romance,Rajnish Thakur,408,Madhavan,36,Milan Luthria,0,2
tt0288273,Uljhan,2001,4-May-01,Drama,Sayed Sultan,409,Sanjay Dutt,37,Prakash Jha,0,1
tt0289845,Aks,2001,13-Jul-01,Thriller | Mystery,Renzil D'Silva (story) | Rakeysh Omprakash Mehra (screenplay) | Rakeysh Omprakash Mehra (story) | Kamlesh Pandey (dialogue) | Kamlesh Pandey (script),410,Parineeti Chopra,38,Sanjay Gupta,0,2
tt0290326,Tum Bin...: Love Will Find a Way,2001,13-Jul-01,Drama | Romance,Shashank Dabral (screenplay) | Anubhav Sinha (dialogue),411,Madhuri Dixit,39,Zoya Akhtar,0,4
tt0291376,Nayak: The Real Hero,2001,7-Sep-01,Drama | Action,Anurag Kashyap (dialogue) | S. Shankar (story),412,Preity Zinta,40,Madhur Bhandarkar,0,2
tt0292490,Dil Chahta Hai,2001,24-Jul-01,Comedy | Drama,Farhan Akhtar (story) | Kassim Jagmagia (story),413,Govinda,41,Vipul Amrutlal Shah,0,4
tt0292552,Hum Ho Gaye Aap Ke,2001,3-Aug-01,Musical,Sunil Kumar Agrawal (dialogue) | Ahathian (screenplay) | Ahathian (story),414,Emraan Hashmi,42,Pooja Bhatt,0,1
tt0292740,Yeh Raaste Hain Pyaar Ke,2001,10-Aug-01,Romance |Drama,Robin Bhatt | Deepak S. Shivdasani,415,Bipasha Basu,43,Anubhav Sinha,0,2
